,address,district
0,"город Москва, улица Новый Арбат, дом 11, строение 2",Арбат
1,"город Москва, улица Арбат, дом 26",Арбат
2,"город Москва, Новопетровская улица, дом 6",Коптево
3,"город Москва, Варшавское шоссе, дом 141, корпус 10",Чертаново Южное
