,address,district
0,"город Москва, Нижняя Красносельская улица, дом 35, строение 59",Басманный
1,"город Москва, Мясницкая улица, дом 46, строение 3",Басманный
2,"город Москва, улица Коровий Вал, дом 9",Якиманка
3,"город Москва, Венёвская улица, дом 2",Южное Бутово
